作成時間,注文番号,金額（円）,ご請求金額（円）,割引（円）,還元金額（円）,プロモーション,追跡番号,サービス,目的の国,梱包タイプ,申告寸法 (cm),申告重量（kg）,申告賃率適用重量（kg）,修正後の賃率適用重量（kg）,備考
2024-08-31 13:54:33,EX1002837352355FE06020002A0N,"2,969","2,879",-90,0,,778296577220,eBay SpeedPAK – Ship via FedEx,US,International Priority - Pak (≤2.5 kg),46.00*32.00*8.00,0.6,0.6,0.8,
2024-08-31 03:23:43,EX1002837344510DL06020002E0N,"6,315","6,126",-189,0,,3165046301,eBay SpeedPAK – Ship via DHL,US,Express Worldwide -Packages (≤70 kg),50.00*15.00*15.00,6,6,6.5,
2024-08-31 01:52:10,EX1002837344044FE06020002F0N,"13,162","12,768",-394,0,,778286723730,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),50.00*40.00*30.00,4.5,12,12.9,
2024-08-30 23:32:51,EX1002837342810FE06020002D0N,"2,534","2,458",-76,0,,778283376744,eBay SpeedPAK – Ship via FedEx,US,International Priority - Pak (≤2.5 kg),45.00*30.00*5.00,0.2,0.2,0.5,
2024-08-30 12:55:41,EX1002837324629FE06020002E0N,"3,846","3,730",-116,0,,778273799470,eBay SpeedPAK – Ship via FedEx,US,International Priority - Pak (≤2.5 kg),40.00*15.00*15.00,0.65,0.65,1.7,
2024-08-30 12:44:59,EX1002837324153FE06020002C0N,"2,752","2,669",-83,0,,778273701415,eBay SpeedPAK – Ship via FedEx,IS,International Priority - Envelop (≤0.5 kg),30.00*25.00*5.00,0.36,0.36,0.7,
2024-08-29 20:51:26,EX1002837305841FE06020002B0N,"2,182","2,117",-65,0,,778255498568,eBay SpeedPAK – Ship via FedEx,US,International Priority - Envelop (≤0.5 kg),10.00*5.00*5.00,0.15,0.15,0.2,
2024-08-29 20:10:12,EX1002845063014FE06020002B0N,"2,969","2,879",-90,0,,778255080716,eBay SpeedPAK – Ship via FedEx,US,International Priority - Envelop (≤0.5 kg),20.00*10.00*5.00,0.44,0.44,0.6,
2024-08-29 17:08:55,EX1002837301502FE06020002C0N,"2,170","2,106",-64,0,,778252889028,eBay SpeedPAK – Ship via FedEx,TH,International Priority - Envelop (≤0.5 kg),30.00*30.00*5.00,0.12,0.12,0.2,
2024-08-29 13:45:06,EX1002837291460FE06020002A0N,"3,806","3,692",-114,0,,778250642970,eBay SpeedPAK – Ship via FedEx,FR,International Priority - Package (≤68 kg),18.00*18.00*18.00,1.8,1.8,3.3,
2024-08-29 13:37:50,EX1002837291074FE06020002E0N,"2,469","2,395",-74,0,,778250600183,eBay SpeedPAK – Ship via FedEx,PH,International Priority - Envelop (≤0.5 kg),18.00*15.00*5.00,0.45,0.45,0.5,
2024-08-29 13:29:22,EX1002837290623FE06020002E0N,"2,200","2,134",-66,0,,778250548715,eBay SpeedPAK – Ship via FedEx,US,International Priority - Envelop (≤0.5 kg),13.00*13.00*7.00,0.25,0.25,0.5,
2024-08-29 13:25:27,EX1002837290412FE06020002G0N,"3,009","2,918",-91,0,,778250515128,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),20.00*20.00*10.00,0.75,0.8,1.9,
2024-08-29 13:22:44,EX1002837290252FE06020002E0N,"2,961","2,873",-88,0,,778250496070,eBay SpeedPAK – Ship via FedEx,IT,International Priority - Package (≤68 kg),100.00*5.00*3.00,0.5,0.5,1.3,
2024-08-29 13:11:11,EX1012857427832FE06020002A0N,"2,145","2,080",-65,0,,778250427894,eBay SpeedPAK – Ship via FedEx,US,International Priority - Envelop (≤0.5 kg),10.00*5.00*5.00,0.15,0.15,0.2,
2024-08-29 13:00:05,EX1002837289569FE06020002G0N,"3,806","3,692",-114,0,,778250352150,eBay SpeedPAK – Ship via FedEx,FR,International Priority - Package (≤68 kg),18.00*18.00*18.00,1.8,1.8,3.4,
2024-08-29 12:57:09,EX1002845006909FE06020002G0N,"4,889","4,743",-146,0,,778250329184,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),45.00*28.00*13.00,4.2,4.2,4.2,
2024-08-29 12:53:59,EX1002837289321FE06020002C0N,"4,994","4,844",-150,0,,778250304309,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),25.00*23.00*18.00,4.15,4.15,4.5,
2024-08-29 12:42:46,EX1002837288972FE06020002C0N,"2,200","2,134",-66,0,,778250215152,eBay SpeedPAK – Ship via FedEx,US,International Priority - Envelop (≤0.5 kg),19.00*15.00*5.00,0.45,0.45,0.5,
2024-08-29 12:34:59,EX1002837288628FE06020002F0N,"3,323","3,223",-100,0,,778250142304,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),15.00*10.00*10.00,0.9,0.9,2.3,
2024-08-29 12:29:58,EX1002837288416FE06020002A0N,"4,989","4,839",-150,0,,778250090895,eBay SpeedPAK – Ship via FedEx,NL,International Priority - Package (≤68 kg),25.00*15.00*15.00,5,5,5,
2024-08-27 14:45:53,EX1002829226038FE06020002F0N,"4,473","4,338",-135,0,,778201361535,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),30.00*30.00*7.00,1.3,1.3,3.6,
2024-08-26 13:24:58,EX1002829180704FE06020002D0N,"3,323","3,223",-100,0,,778175419176,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),45.00*10.00*7.00,0.7,0.7,2.4,
2024-08-25 09:36:32,EX1002829135793FE06020002C0N,"4,928","4,780",-148,0,,778166045752,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),90.00*13.00*10.00,1,2.34,4.5,
2024-08-25 09:30:58,EX1002829135728FE06020002C0N,,,,,,778166035512,eBay SpeedPAK – Ship via FedEx,US,International Priority - Pak (≤2.5 kg),45.00*30.00*5.00,0.2,0.2,,
2024-08-25 09:22:07,EX1002851229714FE06020002B0N,"3,009","2,918",-91,0,,778166015392,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),20.00*20.00*10.00,0.8,0.8,1.8,
2024-08-25 09:18:07,EX1002829135400FE06020002F0N,"6,932","6,723",-209,0,,778166010107,eBay SpeedPAK – Ship via FedEx,CA,International Priority - Pak (≤2.5 kg),40.00*40.00*5.00,0.25,0.25,5.6,
2024-08-25 09:14:58,EX1002837366599FE06020002D0N,"5,516","5,351",-165,0,,778166004329,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),105.00*15.00*7.00,3.25,3.25,4.9,
2024-08-25 09:10:51,EX1002829135344FE06020002G0N,"4,473","4,338",-135,0,,778165996707,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),40.00*15.00*12.00,2.5,2.5,3.8,
2024-08-23 14:53:17,EX1002829103611FE06020002G0N,"3,837","3,721",-116,0,,778139746581,eBay SpeedPAK – Ship via FedEx,FR,International Priority - Package (≤68 kg),18.00*18.00*18.00,2,2,3.2,
2024-08-23 14:45:09,EX1002829103424FE06020002A0N,"9,821","9,656",-165,0,,778139663960,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),65.00*13.00*13.00,0.8,2.197,4.9,
2024-08-22 15:48:44,EX1002829066875FE06020002B0N,"1,901","1,844",-57,0,,778117075871,eBay SpeedPAK – Ship via FedEx,HK,International Priority - Envelop (≤0.5 kg),17.00*13.00*13.00,0.06,0.06,0.1,
2024-08-22 15:43:00,EX1002829066652FE06020002G0N,"3,336",331,-98,"-2,907",,778116942352,eBay SpeedPAK – Ship via FedEx,CA,International Priority - Package (≤68 kg),18.00*6.00*4.00,2,2,2.1,
2024-08-21 15:46:59,EX1002821531146FE06020002A0N,"4,416","4,284",-132,0,,778092361615,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),38.00*13.00*13.00,0.65,1.284,4,
2024-08-20 20:26:06,EX1002821500949FE06020002E0N,"2,515","2,440",-75,0,,778072378722,eBay SpeedPAK – Ship via FedEx,US,International Priority - Pak (≤2.5 kg),40.00*25.00*9.00,0.1,0.1,0.5,
2024-08-20 16:56:54,EX1002821493222FE06020002B0N,"11,875","11,554",-321,0,,778069966626,eBay SpeedPAK – Ship via FedEx,DE,International Priority - Package (≤68 kg),46.00*43.00*17.00,0.6,6.725,12.3,
2024-08-20 16:42:57,EX1002821492926FE06020002C0N,"2,980",0,-89,"-2,891",,778069772096,eBay SpeedPAK – Ship via FedEx,US,International Priority - Pak (≤2.5 kg),23.00*23.00*13.00,0.8,0.8,1,
2024-08-17 12:21:02,EX1002837241771DL06020002B0N,,,,,,6000554781,eBay SpeedPAK – Ship via DHL,US,Express Worldwide -Packages (≤70 kg),45.00*30.00*20.00,4.5,5.4,,
2024-08-17 12:13:15,EX1002821386222FE06020002E0N,"17,291","16,864",-427,0,,778025487963,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),52.00*45.00*3.00,0.9,1.404,17.1,
2024-08-17 12:08:43,EX1002821386208FE06020002A0N,"2,997","2,907",-90,0,,778025461665,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),16.00*15.00*12.00,0.8,0.8,1.1,
2024-08-16 18:21:27,EX1002821367444FE06020002G0N,"2,191",0,-66,"-2,125",,778009748681,eBay SpeedPAK – Ship via FedEx,US,International Priority - Envelop (≤0.5 kg),25.00*8.00*4.00,0.05,0.05,0.1,
2024-08-16 14:55:17,EX1002821363566DL06020002A0N,"3,442","2,201",-116,"-1,125",,6679023960,eBay SpeedPAK – Ship via DHL,US,Express Worldwide -Packages (≤70 kg),40.00*35.00*20.00,1.6,5.6,2.5,
2024-08-15 15:42:51,EX1002821335934FE06020002B0N,"3,822","1,261",-107,"-2,454",,777984259211,eBay SpeedPAK – Ship via FedEx,GB,International Priority - Pak (≤2.5 kg),20.00*15.00*15.00,0.96,0.96,3.3,
2024-08-15 05:45:53,EX1002813817051FE06020002F0N,"3,402","3,301",-101,0,,777978543660,eBay SpeedPAK – Ship via FedEx,US,International Priority - Pak (≤2.5 kg),40.00*25.00*10.00,1.2,1.2,1.5,
2024-08-14 12:52:27,EX1002813796636FE06020002G0N,"3,443",452,-100,"-2,891",,777960793452,eBay SpeedPAK – Ship via FedEx,US,International Priority - Pak (≤2.5 kg),35.00*25.00*15.00,0.88,0.88,1.1,
2024-08-14 12:15:04,EX1002813795295FE06020002F0N,"3,443",0,-103,"-3,340",,777960481770,eBay SpeedPAK – Ship via FedEx,US,International Priority - Pak (≤2.5 kg),35.00*32.00*9.00,1.3,1.3,1.4,
2024-08-11 14:41:39,EX1002813714011FE06020002B0N,"2,200","2,134",-66,0,,777904114271,eBay SpeedPAK – Ship via FedEx,US,International Priority - Envelop (≤0.5 kg),15.00*10.00*10.00,0.1,0.1,0.1,
2024-08-11 13:15:05,EX1002821533984FE06020002B0N,"2,200",0,-66,"-2,134",,777903839977,eBay SpeedPAK – Ship via FedEx,US,International Priority - Envelop (≤0.5 kg),15.00*10.00*10.00,0.1,0.1,0.1,
2024-08-09 20:49:10,EX1002813687051FE06020002F0N,"3,443",0,-103,"-3,340",,777882369746,eBay SpeedPAK – Ship via FedEx,US,International Priority - Pak (≤2.5 kg),35.00*32.00*9.00,1.3,1.3,1.3,
2024-08-09 00:42:40,EX1002813661289FE06020002G0N,"4,472",324,-132,"-4,016",,777863972294,eBay SpeedPAK – Ship via FedEx,PL,International Priority - Pak (≤2.5 kg),27.00*24.00*23.00,1.9,1.9,3,
2024-08-08 21:43:14,EX1002813658063FE06020002B0N,"2,200",0,-66,"-2,134",,777860065564,eBay SpeedPAK – Ship via FedEx,US,International Priority - Envelop (≤0.5 kg),15.00*15.00*8.00,0.5,0.5,0.5,
2024-08-08 21:33:44,EX1002813657954FE06020002F0N,"3,021",-346,-93,"-3,274",,777859925859,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),20.00*10.00*7.00,2.5,2.5,1.5,
2024-08-07 15:24:19,EX1002809121706FE06020002F0N,"7,642",321,-228,"-7,093",,777831956811,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),68.00*5.00*5.00,7.5,7.5,8.4,
2024-08-07 15:17:53,EX1002809121479FE06020002G0N,"3,952",589,-114,"-3,249",,777831891269,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),35.00*32.00*9.00,1.3,2.016,3.1,
2024-08-07 01:02:49,EX1002813706321FE06020002F0N,"2,328",0,-70,"-2,258",,777818529522,eBay SpeedPAK – Ship via FedEx,BE,International Priority - Pak (≤2.5 kg),50.00*20.00*7.00,0.2,0.2,0.2,
2024-08-06 12:14:05,EX1002809076395FE06020002D0N,"13,596","10,316",-339,"-2,941",,777805950595,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),45.00*35.00*5.00,2,2,13.3,
2024-08-06 12:08:35,EX1002809076172FE06020002A0N,"3,936","1,432",-108,"-2,396",,777805904688,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),55.00*5.00*5.00,0.25,0.275,3.4,
2024-08-05 16:29:41,EX1002809056904FE06020002C0N,"7,537","4,885",-193,"-2,459",,777784813302,eBay SpeedPAK – Ship via FedEx,US,International Priority - Pak (≤2.5 kg),50.00*30.00*6.00,0.4,0.4,7.8,
2024-08-05 16:29:20,EX1002809056888FE06020002G0N,,,,,,777784808141,eBay SpeedPAK – Ship via FedEx,US,International Priority - Pak (≤2.5 kg),50.00*30.00*6.00,0.4,0.4,,
2024-08-05 16:16:09,EX1002809056652FE06020002A0N,"3,032",11,-91,"-2,930",,777784582407,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),60.00*20.00*6.00,0.35,1.44,1.7,
2024-08-05 16:12:44,EX1002809056533FE06020002C0N,"3,016",780,-86,"-2,150",,777784518122,eBay SpeedPAK – Ship via FedEx,US,International Priority - Envelop (≤0.5 kg),15.00*10.00*6.00,0.5,0.5,0.9,
2024-08-05 16:06:41,EX1002821507295FE06020002F0N,"3,341","-1,084",-108,"-4,317",,777784440132,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),73.00*25.00*10.00,0.7,3.65,2.5,
2024-08-04 12:31:24,EX1002809016829FE06020002C0N,"2,217",0,-67,"-2,150",,777776014950,eBay SpeedPAK – Ship via FedEx,US,International Priority - Envelop (≤0.5 kg),19.00*15.00*5.00,0.5,0.5,0.5,
2024-08-04 12:21:56,EX1002809016700FE06020002D0N,"3,341",851,-94,"-2,396",,777775986041,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),42.00*10.00*5.00,0.1,0.42,2.5,
2024-08-04 12:15:51,EX1002809016620FE06020002B0N,"3,013",0,-91,"-2,922",,777775968899,eBay SpeedPAK – Ship via FedEx,FR,International Priority - Package (≤68 kg),20.00*20.00*20.00,2,2,2,
2024-08-03 10:37:02,EX1002809005028FE06020002C0N,"3,936",916,-112,"-2,908",,777765782440,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),33.00*31.00*8.00,1.3,1.637,3.1,
2024-08-02 13:42:54,EX1002829218918FE06020002B0N,"3,020",821,-86,"-2,113",,777747228315,eBay SpeedPAK – Ship via FedEx,US,International Priority - Envelop (≤0.5 kg),20.00*15.00*5.00,0.5,0.5,0.7,
2024-08-01 11:44:48,EX10028089584020001020002D0N,"3,375",335,-99,"-2,941",,777723539942,eBay SpeedPAK – Ship via FedEx,CA,International Priority - Package (≤68 kg),20.00*7.00*4.00,2,2,2.3,
2024-08-01 11:40:09,EX10028089582280001020002C0N,"3,354",791,-95,"-2,468",,777723494060,eBay SpeedPAK – Ship via FedEx,US,International Priority - Pak (≤2.5 kg),45.00*30.00*8.00,0.5,0.5,2.1,
2024-08-01 11:35:06,EX10028089580680001020002G0N,"2,217",0,-67,"-2,150",,777723446286,eBay SpeedPAK – Ship via FedEx,GB,International Priority - Envelop (≤0.5 kg),31.00*21.00*10.00,0.25,0.25,0.3,
2024-08-01 11:26:11,EX10028089576940001020002A0N,"6,817","3,361",-182,"-3,274",,777723365197,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),35.00*32.00*9.00,1.3,2.016,5.3,
2024-08-01 11:21:41,EX10028089575360001020002F0N,"2,534",0,-75,"-2,459",,777723319647,eBay SpeedPAK – Ship via FedEx,US,International Priority - Pak (≤2.5 kg),35.00*30.00*5.00,0.4,0.4,0.4,
2024-08-01 11:15:45,EX10028089574180001020002A0N,,,,,,777723260251,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),45.00*40.00*5.00,14,14,,
2024-07-31 01:44:33,EX10028089253130001020002G0N,"5,287","2,254",-111,"-2,922",,777689259010,eBay SpeedPAK – Ship via FedEx,GB,International Priority - Package (≤68 kg),20.00*20.00*20.00,2,2,3.3,
2024-07-31 01:40:35,EX10028089253010001020002B0N,"5,033","2,463",-134,"-2,436",,777689153350,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),45.00*11.00*5.00,0.1,0.495,4.5,
2024-07-30 13:20:07,EX10028089126180001020002D0N,"3,996",593,-116,"-3,287",,777677213746,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),35.00*32.00*9.00,1.3,2.016,2.9,
2024-07-30 13:17:02,EX10028089125760001020002G0N,"3,033",204,-89,"-2,740",,777677198385,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),15.00*10.00*10.00,0.95,0.95,1.4,
2024-07-30 13:11:27,EX10028089124450001020002G0N,"3,375",335,-99,"-2,941",,777677168029,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),20.00*7.00*4.00,2,2,2.2,
2024-07-30 13:06:50,EX10028089122730001020002G0N,"2,187",0,-65,"-2,122",,777677140839,eBay SpeedPAK – Ship via FedEx,US,International Priority - Envelop (≤0.5 kg),20.00*20.00*10.00,0.08,0.08,0.1,
2024-07-30 13:00:49,EX10028089121280001020002A0N,"3,027",782,-86,"-2,159",,777677100890,eBay SpeedPAK – Ship via FedEx,US,International Priority - Envelop (≤0.5 kg),33.00*16.00*14.00,0.4,0.4,0.8,
2024-07-28 22:17:08,EX10028088665890001020002A0N,"3,027",782,-86,"-2,159",,777647454430,eBay SpeedPAK – Ship via FedEx,US,International Priority - Envelop (≤0.5 kg),17.00*12.00*8.00,0.3,0.3,1,
2024-07-28 13:00:15,EX10028088543750001020002G0N,"4,813","4,569",-244,0,,3752980033,eBay SpeedPAK – Ship via DHL,CA,Express Worldwide -Packages (≤70 kg),20.00*20.00*20.00,2,2,,
2024-07-27 15:28:35,EX10028088462900001020002A0N,"21,193","18,698",-75,"-2,420",,2277021504,eBay SpeedPAK – Ship via DHL,AU,Express Worldwide -Packages (≤70 kg),65.00*2.50*2.50,0.2,0.2,,
2024-07-27 15:14:21,EX10028088462490001020002F0N,"8,127","8,018",-109,0,,777639504234,eBay SpeedPAK – Ship via FedEx,US,International Priority - Pak (≤2.5 kg),35.00*30.00*6.00,0.5,0.5,1.7,
2024-07-26 22:06:20,EX10028088395700001020002A0N,"5,580","5,413",-167,0,,7297192442,eBay SpeedPAK – Ship via DHL,AU,Express Worldwide -Packages (≤70 kg),45.00*35.00*10.00,0.4,3.15,,
2024-07-25 22:27:18,EX10028088119400001020002G0N,"20,505","20,349",-156,0,,8981783296,eBay SpeedPAK – Ship via DHL,US,Express Worldwide -Packages (≤70 kg),60.00*40.00*10.00,1.6,4.8,,
2024-07-25 21:28:51,EX10028088109430001020002B0N,,,,,,6995337145,eBay SpeedPAK – Ship via DHL,US,Express Worldwide -Packages (≤70 kg),60.00*40.00*10.00,1.6,4.8,,
2024-07-25 20:18:01,EX10028088101480001020002A0N,"14,095","13,870",-225,0,,777602497654,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),60.00*20.00*12.00,7.5,7.5,7.5,
2024-07-25 20:13:58,EX10028089427840001020002F0N,"3,389","3,287",-102,0,,777602460679,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),22.00*10.00*7.00,2.5,2.5,2.5,
2024-07-25 20:08:46,EX10028088100940001020002F0N,"3,922","3,813",-109,0,,777602414257,eBay SpeedPAK – Ship via FedEx,US,International Priority - Pak (≤2.5 kg),38.00*30.00*5.00,0.5,0.5,1.7,
2024-07-25 20:02:23,EX10028088100550001020002C0N,"3,996","3,883",-113,0,,777602364101,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),33.00*30.00*8.00,1.3,1.584,3,
2024-07-25 19:57:57,EX10028088100160001020002A0N,"5,581","5,433",-148,0,,777602327828,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),80.00*7.00*5.00,0.15,0.56,4.7,
2024-07-25 00:53:01,EX10028087901860001020002D0N,"4,474","4,208",-266,0,,4517376835,eBay SpeedPAK – Ship via DHL,AU,Express Worldwide -Packages (≤70 kg),65.00*23.00*7.00,0.35,2.093,,
2024-07-25 00:40:32,EX10028087900160001020002F0N,"2,226","2,159",-67,0,,777584400409,eBay SpeedPAK – Ship via FedEx,US,International Priority - Envelop (≤0.5 kg),18.00*16.00*1.50,0.2,0.2,0.2,
2024-07-23 13:04:54,EX10028087439120001020002A0N,"5,033","2,463",-134,"-2,436",,777552665369,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),50.00*5.00*5.00,0.25,0.25,4.5,
2024-07-23 01:54:59,EX10028091122390001020002A0N,,,,,,8698793832,eBay SpeedPAK – Ship via DHL,US,Express Worldwide -Packages (≤70 kg),45.00*30.00*20.00,4.5,5.4,,
2024-07-23 01:47:19,EX10028022326440001020002A0N,"3,461","3,360",-101,0,,777540496196,eBay SpeedPAK – Ship via FedEx,IT,International Priority - Package (≤68 kg),12.00*12.00*10.00,1.9,1.9,2.4,
2024-07-23 01:41:00,EX10028022326050001020002F0N,,,,,,777540316440,eBay SpeedPAK – Ship via FedEx,US,International Priority - Pak (≤2.5 kg),43.00*13.00*10.00,0.4,0.4,,
2024-07-22 11:42:00,EX10028022120760001020002F0N,"3,039","2,953",-86,0,,777526870701,eBay SpeedPAK – Ship via FedEx,US,International Priority - Envelop (≤0.5 kg),18.00*18.00*14.00,0.45,0.45,0.6,
2024-07-22 11:31:47,EX10028087785800001020002D0N,"2,234","2,167",-67,0,,777526746862,eBay SpeedPAK – Ship via FedEx,CA,International Priority - Envelop (≤0.5 kg),33.00*23.00*8.00,0.1,0.1,0.1,
2024-07-22 11:13:17,EX10028091060010001020002D0N,"4,543","4,414",-129,0,,777526486629,eBay SpeedPAK – Ship via FedEx,US,International Priority - Package (≤68 kg),25.00*5.00*5.00,2.5,2.5,4,
